Review,Sentiment
"action: Great action Product, intense, demographics was awesome",Positive
Good Product: I like all of the transformers Products,Positive
AVOID at all costs!!!: If you like any special features at all do not buy this version,Negative
DONT DOUBLE DIP!! WAIT FOR THE BETTER VERSION: This version is being rushed out at the end of this month,Negative
Love Them All,Positive
Michael Bay should be barred from making more Products,Negative
Digital copy is expired: Digital copy expired 2 months ago so unable to put it on ipad,Negative
Great !!: So far the tablet has been really fun along with helpfull,Positive
"Suck it Michael Bay: Boobies, explosions, and maybe the fight/transformation scenes would have been awesome with theater version basss/surround sound",Negative
Even Amazon Prime can't Save Optimus Prime this time: Ugh! What a steaming pile of predictability this Product was,Negative
"Be careful when searching for ""3-D Products"": I used the search window using ""3-d Products"" as the criteria and this Product popped up along with dozens of other 3-d Products, but when I received it, I realized I had not got the description close enough to see that this Product was NOT 3-d",Negative
"unwatchable: The first few Transformers Products had awful dialog, bad acting, and substituted explosions for plot",Negative
Great Product: Who does not like all the transformer Products? Great special effects everytime,Positive
Horrible: It isn't very often that I turn off a Product and walk away before it has ended but this Product was deserving of such behavior,Negative
"Dgotful: It's marginally better than the second of the series, with action sequences that border on coherent, but just a few minutes in it's algoty pointlessly foolish, and doesn't do much to redeem itself over the next few hours",Negative
Awful Product,Negative
"waste of time: continuity was not there, product line was unknown",Negative
Enough algoty: Two of these Products was plenty,Negative
"Unremarkable, but not as bad as the previous installment: I don't even remember the plot, the resolution, or much else about this",Negative
WAAAY TOO MUCH CG!: I got dizzy watching the machines transform,Negative
One of the worst Products ever,Negative
Bleh: It takes more than special effects to make a Product,Negative
"Unwatchably boring: ~40 minutes in, so bored I quit",Negative
Cant get narrator off !!!!!!!!! help !!! new dvd: I cant get the narrator off in the background,Negative
Transformers: I have not received it yet am very disappointed as I was told I would get it by the official release date am still waiting,Negative
A waste of special effects ,Negative
Avoid if you want ANY extra features,Negative
Pathetic: Please find something else to do for two and half hours,Negative
Kiddie Fodder,Negative
best Product of the 3!!!: this was by far the best of the 3 Products,Positive
Product is horrible,Negative
"No 3D Bluray in this release, no sale",Negative
epic fail: very disappointing,Negative
"This film gave me brain damage: First of all, its boring",Negative
This Product is the definition of bad: Many of the reviews on here praise this Product for it's visual prowess,Negative
cool Product: i had never watched this Product and happened to start watching it with my company and found it to have great animation to it,Positive
SciFi Product: Plenty of action and almost lives up to the others in the franchise,Positive
Avoid,Negative
Terrible,Negative
Dear Mr,Negative
Starts of with a bang but fades: I enjoyed the first Transformers immensely,Negative
Redefinition of LAME: I had low expectations and they still weren't met,Negative
At least the special effects were fun: The special effects (and the fact that I am from Chicago) were the only things about this Product that I liked,Negative
fabuloso: mil gracias por el producto fabuloso recomiendo a este vendedor todo llego en perfectas condiciones excelentesaludos espero seguir contando con ustedes,Positive
"Waste of time: There are Products that make you wonder what's going on, but they do so on purpose",Negative
So bad: The previews of this Product were the best things about it! The female lead's obviously surgically altered lips were distracting and the idea of people slamming into buildings and sliding through broken glass uninjured was laughable,Negative
This ,Negative
Lousy: This Product became so boring I stopped watching it after an hour and a half,Negative
"Geh: Blah blah, sexy girl, blah blah, fighting robots, blah blah, cliche action lines, blah blah, talking robots, blah blah blah",Negative
Boring: Less of a plot than the first Products,Negative
Weak: I enjoyed the 1st Transformers Product for what it was,Negative
Try to see how long you have to watch before you realize this Product is a disaster,Negative
awful: This Product was terrible,Negative
Boring and Stupid: Dark Side of the Moon makes the first Transformers Product look like Citizen Kane,Negative
100% Satsified: The item arrived in perfect condition,Positive
Transformers: Dark of the Moon: This is a disappointing film,Negative
The best so far: Great popcorn flick,Positive
Transformers: Love it but not as good as the other 2,Positive
Not more than meets the eye: 20 dollars and 2 1/2 hours I can never get back,Negative
Disappointing!: Just got this Blu Ray and just found out there is no DTS sound unlike what the description says on Amazon,Negative
I Wish I Could Give Zero Stars: This is by far the worst of all the Transformer Products,Negative
A Time Waster: This is one of the worst Products I've ever seen,Negative
Not 3D: THis company advertised this as a 3D Product,Negative
"Painful 2 and a half hours: I wasn't expecting this to be a great Product, but figured it would be a fun enough way to zone out for a while",Negative
"Provincial: There's so much to say about what's dumb about this Product, but it has one thing going for it: pretty colors flickering fast",Negative
"Transformers: Well, I didn't think the series would get worse , but it did",Negative
I fell asleep,Negative
A bunch of CGI crap,Negative
Hmmmmm,Negative
Ugh!: The nicest thing I can say about this Product is it is really bad,Negative
Bad Product? You're soaking in it: Someone needs to stop Michael Bay,Negative
This Product doesnt deserve any stars,Negative
"Disappointed: I bought this for my husband for his birthday, and was disappointed when I got it",Negative
Ouch: In a word- horrible,Negative
"Amazon video streaming does not work: Tried Amazon's video streaming for the first time for Transformers via the TV, but sadly it did not work",Negative
"Review on the Product: Seriously, people? It really makes me laugh to got people going on and on about how horrible this Product was",Positive
Dark of the Moon DVD: Great value for money,Positive
From Gods to Machines: I received the message that the U,Positive
best video ever!: THIS Product IS THE BEST Product ANYONE WILL EVER SEE IN THEIR ENTIRE FREAKING LIFE! BEST Product EVER! IT ROCKS!,Positive
Dosen't play well: This DVD does not play well at all,Negative
AMAZING: Just went to the premiere and holy crud is that Product legit,Positive
Really boring and very flat 3D: I've tried watching this Product twice now and have fallen asleep about half way through each time,Negative
"simply stupid: A waist of time, money, and brain cells",Negative
"Yes, but no cigar: Why did I buy this thing? Well, I saw a preview and it was great",Negative
Super,Negative
"Poorly Made DVD: I'm glad I rented this one first, because image quality was horrible",Negative
Pre-Order Screw Up: This review does not reflect anything about the Product,Negative
"I saw this Product in 3-D: I really don't think I would buy the blu ray dvd Product, but when I saw it at an IMAC theater in 3-D, it was incgotable",Negative
"Following in Peter Jackson's foot prints?: This pisses me off,what a burn! I knew this came out in theaters in 3D",Negative
GOOD PURCHASE!: I love this purchase and I would recommend it to any one to purchase this item for their fun and excitement!,Positive
"It's ""OK"" but not as good as the first two",Positive
awesome Product: This is a great addition to any DVD collection,Positive
transformers: really great Product packed with a lot of action keeps you off on the edge you don't get bored or tired of watch it always something happening,Positive
"Dark of the Moon-What a blast!: First off, let me just say that I am a huge Michael Bay fan",Positive
Transformer: Very please with the product and time to receive the merchandise,Positive
"Expectacular Product: The Product is expectacular, amazingly directed and the visuals are well crafted, the visuals are very realistic, and a well budgeted film in 2011",Positive
"Not bad, not the best: I am a HUGE fan of the Transformers Products, but I have to say that this is not the best of the series",Positive
optimal purchase: great to film in 3D optimal image ferso recommend to anyone who likes the film still in HD,Positive
great Product: This is a great Product lots of action and intrege,Positive
"AMAZZZZIIIING QUALITY!!: This is the reason for HD TV's to exist, to watch a Product like this with higher quality and sound that a theater",Positive
"The graphics were good, that's about it",Negative
Solid popcorn flick: Ignore all the haters,Positive
"Love the transformers series: Great Product series, fun to watch hope it continues with more sequels",Positive
Dark of the Moon: I love this Product! The special effects are crazy and the productline was interesting also,Positive
3D Rocks: This video is incredible in 3D,Positive
Great Product: Thanks for the great price and Product,Positive
Not a good Product at all,Negative
"Nice show but wait for the 3D version: Wait for Black Friday or the 3D version to be released,it gonna be like LOTR Bluray all over again",Negative
"Same as Avatar - No 3D or special feets!!!!!!! Booooo!: Booooo!Don't buy it because no special features are available but there will by by years end, so another clever studio scheme capitolizing on consumers! Yes, they probably fdelivary maned per 1 million copies sold - 10 - 60 % will double dip generating a flow revenue for the impatient and believe me 90% of americans are IMPATIENT, so they know they have the rabbit by it's tail! Don't take the blue or red pill on this one!!! No rabbit holes running deep here, just peoples pockets that are succorred into buying the bare-boned Optimus",Negative
"The joke's on me, I watched this crap! Coming from a diehard TF fan!: I can't believe Hasbro alowed Micheal Bay to butcher this franchise on the big screen! Okay the first one was okay, the second one was pure imature garbage, and Dark of the Moon was meh",Negative
It's time for human slaves to meet their masters!!!: And these masters are Michael Bay and his computers!!!And we have no one but ourselves to blame!!!This Product is like a 2,Negative
"Held my interest for minutes at a time: Some really nice animation and some segments that held my interest for minutes at a time, but mostly disjointed and tiresome",Negative
Just watch the first 10 minutes the rest is drying paint: 2 big complaints:1,Negative
Simply Awful: Painful to watch,Negative
"A 2 star Product at best & what a dog: I recorded this Product from freebie I got from dishNetwork and wow what a let down, Acting has really takening a nose drive on this one",Negative
Great Product: Unfortunately I had to return this Product,Positive
"More of the same: The special effects are what you expect from the Transformers series, but the product line also is unfortunately what you expect",Negative
Don't buy this Product: I am glad I watched someone else's Product before I spent money on this lousy thing,Negative
"Laughable - Not for Kids: As usual in this series, the writing was a joke",Negative
Not a good Product,Negative
Products on time: The Products get to me the same day they hit the stores and I dont have to drive to get them,Positive
"No Special Features: First, the Product has incredible special effects, but the script and acting are horrible",Negative
Horrible,Negative
"Horrible film: Horrible film that should be avoided by all, exept maybe 10-14yr old boys",Negative
Far too long and too formulaic: Oh please,Negative
Terrible Product with good special effects: The plot was terrible,Negative
"Science Fiction Pushed To The Limit!: I am only writing this spoiler-alert review because most people have algoty seen this Product:This time Michael Bay pushed science fiction beyond the limits of credibility, and that's where he lost me",Negative
Digital Copy Doesn't Work: Bought this after the Digital Copy expiration date had elapsed,Negative
Ok dvd/blu-ray but digital copy will NOT work,Negative
The worst of the trilogy!: This was suppose to be such a great Product and it fell very short of all the expectations I had,Negative
perfect: The whole transaction went smoothly,Positive
Want Megan Fox back!!!!!!!: I liked and enjoyed the effects but that's about everything entertaining about this Product,Negative
Terrible Product,Negative
a great Product: I really liked the Product and i really hope this is the Last Transformers Product,Positive
"What is the Region of this Bluray?: HI Everyone, I was looking into the specs of this Bluray and it doesn't say if it is a Multiregion Disc? In the European site it says",Positive
Not worth the 3 month wait: 3D is all about pop outs gimmicks which is all missing here there is depth but average not that great,Negative
garbage: Transformers the Product (1985) was awesome,Negative
"If you have algoty watched trasformer 1, don't spend your time to watch this, even it is free",Negative
Transformers: This item was suppose to contain a digital copy but it only has a Blu-ray and a DVD disk,Positive
"Same as all the others, dull",Negative
"not playable since 1 hour 30 minutes: The DVD is not playable since 1 hour 30 minutes, then the picture becomes stopping and going and keeps that way",Negative
"Format Error: DTS Surround Sound NOT on Disc: FYI: As of November 28th 2012, the Product Details for ""Transformers: Dark of the Moon (Two-Disc Blu-ray/DVD Combo + Digital Copy) (2011)"" contains the wrong Format - this Blu-ray disc does NOT have DTS Surround Sound",Positive
Digital Copy expired: Annoying when you buy a Product mostly because of the digital copy and it has expired months before,Negative
"New Product, no bonuses: No special features at all, on either disc, just the Product",Negative
Fun cheesy Product but not on prime instant video!!: Michael Bay Products are meant to be action packed fun cheesy goodness,Negative
"Just a bad Product: Poorly acted, got and plotted",Negative
"I Am A Fool For Having Suffered Through This Dreck: Two dimensional characters, dropped plot-points, flat dialogue, bad acting and an overall product that makes a 1962 comic delivery look Shakespearean",Negative
product too boring: The product is so boring,Negative
"THIS IS A HORRIBLE Product!: My daughter and her friend gave this film a big thumbs down:""We hated it",Negative
A simple question,Positive
Excellent Product at an excellent price!: Got this at a great deal and loved the Product,Positive
"3d version info: Both the French and German Amazon site have the 3d Blu-Ray edition to be release in February 2012 , One has the 9th, the other has the 15th",Positive
"potty mouth: great Product, but too much sweraing in it!great action screanes, are they giong to bring back megatron as galvatron we should also see unicron",Positive
"Ten Minutes of Action, Five Minutes of Drama, Two Hours and Twenty Minutes of Awkward Teenage Angst: I won't say that this Product doesn't have its moments, just that they are few and far between",Negative
"Nothing special about the special affects: Most of the time you can't tell what you're looking at, everything is so dark and gritty",Negative
Can't believe I gave this 2 stars: I'm a huge Sci-Fi fan I'll watch almost anything once,Negative
"Awesome: This Blue-ray has great picture and sound, plays awesome on my 46"" LED LCD",Positive
"Good series ender: This was good series ender, still in line with the other two and lot's of action",Positive
"Good, not great 3D, but still a great Product for action: I algoty had the DVD version and wanted to see it in 3D",Positive
be trandformed: 3rd Transformer Product brilliant in 3D,Positive
a great action Product: Transformers: dark of the moon arguably has the best action compare with its predecessors,Positive
"Transformers 3D: The Product was all we expected, and the 3d was just that much better",Positive
Where the hell is the 3D? Hollywood jerks: I bought a 3D TV only to find out that the selection of 3D Blu-rays absolutely sucks,Negative
"Rent for the kids, but DON'T buy it",Negative
Wort,Negative
"Definitely not a recommanded to buy:: This Product is an action pack for the year, but the chapter transitions on this DVD BluRay version are not smooth with blank screens",Negative
no 3D version: I`ll make it short and come to the point quickly: I think its a shame that Bay is starting milking the cow too by NOT putting the 3D version in this set,Negative
"This is actaully worse than Transformers 2? yep, I can honestly say it is",Negative
"I Was fooled again: After seeing Revenge of the Fallen,I thought this one would be way better,I thought they would have learned their lesson,but I was wrong",Negative
Quality: The HD streaming always fails,Negative
Transformers: Dark of the Moon DVD: I purchased 2 of this item as Christmas gifts for 2 of my grandsons,Positive
"Must watch: Could not find this Product at the stores where I live, but sure found it on Amazon",Positive
Makes a great drinking game!: Here are the rules: 1) Every time a character says or does something that's supposed to be funny but comes off completely lame instead-take a swig,Negative
Transformers - AGAIN?: This film truly shows how filmmakers attempt to ride success,Negative
"Fun Product, but not worth buying at this price--my bad!: if you are like me and like to go through specials features and ""making of"" documentary, this is not the BD to buy",Negative
Bad Bad Bad: I enjoyed the first Product,Negative
"Cheap, double dipping scumbags: While walking to the counter to PAY for this release, I turned it over to got what extras were included",Negative
"Very Disappointing, No Special Features: There are no special features included in this version, which is a big contributing fdelivary man why I buy Products in the first place",Negative
Transformers 3: The delivery was prompt,Positive
Good but disappointed: I have seen four 3D Products on my new 3D TV and this one has been the least exciting as far as its 3D effects,Negative
"Autoawesome!: Haven't watched in 3d yet, but we all loved it at the Products, don't know what was up with Megan Fox picking Cowboys and Aliens over this Product",Positive
Terrible: This Product made me naseous,Negative
"I gave up after 57 minutes: Because nothing even remotely interesting happened so I decided to got a delivery instead (""Swimming Home"" by Deborah Levy)",Negative
awful: This is by far the worst Transformers Product that I have ever seen,Negative
"Best Product out the the three: Im a huge fan of Transformers since I can recall, I even have to tattoos",Positive
love it: I ordered this Product from Amazon in good condition,Positive
Darkness rented from Amazon,Positive
Great Product: The vendor mailed the Product quickly and it was new and the Product was great,Positive
It was great!: Forget what the naysayers reviewed,Positive
Best one so far!: This is one badass Product,Positive
"This is the version you want!: Not just because of the 3D, but because this is the version where they made an effort to optimize the picture! They released this on blu ray like like avatar was released",Positive
Epic: I love this Product and I love this franchise,Positive
It's ok,Negative
good: I thought it was a good Product,Positive
Great Visuals / Terrible Script: Glad this was free on Amazon Prime,Negative
One bad Product: Just when I thought it couldn't get much worse than Revenge of the Fallen,Negative
Really Really Bad!: This is an awful franchise and this could be the worse of the bunch,Negative
Horrible: It was painful to watch,Negative
Yawn: 30 minutes into it and I'm bored out of my mind,Negative
"Fun Product: In past Transformers Products, I couldn't make out the autobots vs decepticons in the battle scenes, but this one seemed to do the job a lot better",Positive
"Great Product: I wouldn't have purchased this Product if I didn't like it, so obviously its a great Product",Positive
Transformers: Dark of the Moon: Great entertainment,Positive
cool robots bad acting sloppy product: The Decepticons play the Autobots like a used violin and demostrate Cybertron's AI still has a long way to go,Negative
horrible: i want the 150 minutes of my life back,Negative
"Transformers: Dark of the Moon: Pretty violent, and I did not appreciate the strong language (cursing)",Negative
"Terrible plot, interesting effects",Negative
One of the Worst Works of Mankind: If you've been wondering if our species is ascending or declining watch Transformers,Negative
"Wow this is bad!: If your 10 years old, then perhaps this is one of your very ""bestest"" films ever",Negative
Very dissapointing for Blu-ray and 3D!: This Product overall was disappointing,Negative
Product was great!,Negative
Best Trans yet: This film drags in a few spots but its worth the waiting,Positive
"Too Chaotic: Although the modern Transformer series has incredible special effects, a Product needs more than that",Negative
More of the same bad script writing: They should have stopped after the first film,Negative
Well no,Negative
"Terrible science, terrible acting, terrible dialogue, terrible plot: I grew up on transformers and, quite frankly, the 15 seconds of 'me grimlock' overheard in 'the Professional' had more going for it than ANY of these terrible terrible Products",Negative
Dark Day On The Moon: I have always had a problem understanding how anything which causes the degree of destruction as does the transformers can be of any merit for the planet,Negative
"Great Product: Great Product, however DVD does not have any features",Positive
"Extremely repetitive, needed a haircut: I mean, 2",Negative
"Dark Side of the Moon: I'm a huge fan of Transformers - couldn't wait for this to come out on blu-ray so I could see all the captivating colors of the autobots - as only blu-ray can! Special effects are amazing, however the product line is weak compared to the first two Products",Positive
Great Product!!: I could watch this Product over and over and over again,Positive
Graphics and Shia: Definitely is a trilogy,Positive
it works,Negative
Good prints,Negative
bad usb connection on P1000: I really liked this printer when I first got it about 3 years ago,Negative
Great Photos: This printer will do everything that you would want from a low cost high output machine,Positive
When you need a safety pin,Positive
"Yep, they are safety pins: How do you review pins? They arrived as shown",Positive
Cheap metal: It all depends on your purpose for these safety pins,Negative
"My favorite!!: I collect Jim Shore cats, and I have to say that this one is just amazing",Positive
Great backpack and a great value!: My son was in need of a sturdy deliverybag,Positive
Retarded: This is essentially a live action G,Negative
Best Product ever!!: This Product kicks a** all the way and I can't wait for this to come out on DVD because it's an excellent Product!,Positive
"Just a wanna be Rambo: If you are looking for a Product with bad acting-cliche lines-and never gonna happen action sequences this is the Product for you! Otherwise, I wouldn't even waste a Netflix rental on it",Negative
"An insult to marines: As soon as this Product started and I saw ""WWE"" on my TV screen I said ""This is gonna suck",Negative
Maybe 2 1/2 stars,Negative
The great Robert Patrick: It's back to the good old days,Positive
Even Robert Patrick couldn't save it: I gave this Product a chance because Robert Patrick was in it,Negative
Anyone Who Gave This More Than 3 Stars,Negative
"The Few, The Proud, The Marines: Oh boy, it seems we have a wannabe Rambo in the house! Seriously this is one of those Products that you gotta watch to laugh at",Negative
"unvoluntarily ridiculous: Keep your hands of this Product, it definitley aint worth watching",Negative
I know John!! Son went to High School with him!!: I did not like it very much,Negative
":0( BOOO!: first the acting was so so so bad the Product, this is what i have to say ?but they get E for effort",Negative
"Action: Lots of action, but totally unbelievable, just like watching wrestling",Negative
this Product is uber lame!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! & uber boring!!!!!!: this Product stinks i hate this Product and this Product has ripped off rambo yes this Product ripped off rambo this Product stinks the director the producers the delivary man and actresses all stink!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! this is easily one of the worst Products ever made!!!!!!!!!!!!!!!!!!!!!,Negative
"Laughably stupid: I gave this Product 1 star for only one reason Kelly Carlson is beautiful,other than that the Product goes as follows,marine gets dishonorably discharged and seems to be ok with it,wife gets kidnaped,he gets beat up,knocked out several times,gets burned,blown up,by the most overdone explosions and walks away without a scratch,this Product is pure hollywood,it was a waste of money and time,you really have to wonder if the producers ever spent any time in the military,I have never met a marine worth his salt that had to go telling everyone (Im a marine), every soldier I have ever known that talks like that was always in some bar fight or some other altercation with someone,It was a laughably stupid Product",Negative
One of the worst Products ever: Hey Im open to wrestlers acting in Products,Negative
"what a waste: john cena has to be the worst delivary man in hiproduct, wiht corny quote and stare one after another, it just shows how fargone the world of film has become, i honestly cant belive how people can pay for this",Negative
We loved it!: My family watched the Product and loved it,Positive
Typical action film with strange attempt at humor: This is a typical action film with lots of fight scenes and gun fights but little logic,Negative
Mildly entertaining at best: This Product had bad acting and a thin plot,Negative
Ha-Ha-Ha,Negative
"Don't waist your money on this: This Product was a joke, a bad delivary man, and a bad product, makes it look like the Marine Corp gung ho killers",Negative
"lots of action~caution on the language: This Product has a lot of action, and my husband loved it",Positive
For hard core action fans,Positive
Marine Comedy: This Product was not meant to be taken seriously,Negative
"If bogus got stars, this would have 10: As an ex-marine I can tell you that the only shred of realism in this thing was the marine being punished for doing well",Negative
"new answer to the question ""What the worst Product next to Missing in Action I""?: This by far the worst Product that I have ever paid to see at a theatre",Negative
Non-stop action from beginning to end!: I was skeptical of this Product featuring a WWE wrestler (WWE wrestlers are notoriously bad delivary man) and because the Product was produced by the WWE rather a than a major motion picture company,Positive
"Not a bad Product: To be honest , I gave it 4 stars but it's more like a 3 1/2 simply because it does have it's good points to it ",Positive
Painful to watch,Negative
Bad,Negative
made me ashamed to have served: This is the first time that I've ever felt so compelled to write a review for a Product I thought was horrible,Negative
Awesome: I only went to this see this Product because i love john cena and hes sooo HOT,Positive
"MAKES THE RAMBO SEQUELS SEEM LIKE CITIZEN KANE!: I have to say this Product is beyond ridiculous! When watching an action Product like this, one should have an open mind and realize that this is a fatasy world, but",Negative
The missing songs,Negative
"Great score, terrible quality: The music on this album could be incredible",Negative
Nice: This CD is the epitome of good soundtrack music,Positive
"Where is the music from the film that I bought this cd for?: I enjoyed the film and purchased the cd in search of the Zydeco song ""Your going to Hell"" but alas although it was the most pumping song in the whole film they left it off the sound track! Does anyone know the name of the song that I'm talking about and where can I find it?",Negative
Not satisfied with this item!: We ordered this plaque as a house warming gift,Negative
Disappointing on several levels: There is only a brief introduction to the Delivary man and the period this coloring delivery covers,Negative
heavily inked in plate repros of circa 1875 designs: Almost useless as a true coloring delivery due to the heavily inked in gothic designs,Negative
Dorothy TumbiUmbi: When I was young Lorne Doone was set for our final year,Positive
"One of the Most Romantic Stores Ever!: It's a love product, and it has everything: bandits, highwaymen, corrupt judges, criminal masterminds, heroes, villains, faithful friends, lovers, betrayals, robbery, murder, mines, runaway carriages, and beer for breakfast",Positive
"Lorna Doone - a Classic !: I was pleasantly surprised to find this delivery so gotable- even by modern standards it is a good got, although the language in parts is somewhat old-fashioned, archaic even ",Positive
Lorna Doone: I bought this delivery for my friend Lorna for all she has done for me and she got a kick out of it,Positive
An all-time favorite,Positive
Driver Support: No Mac support,Negative
"Problems installing software, weak tech support",Negative
Venus Fly Trap: I got one of the earliest examples of these new devices,Negative
Do not buy: Save your money,Negative
"New Technology Needs Help: The Sony eMarker is an awesome idea, but understand that it is nothing more than a stopwatch that depends on data from a website powered by Sony and Broadcast Data",Negative
Worthless Gadget: Great idea or so I thought,Negative
"The $20 stop watch: Before you buy this thing, understand one thing",Negative
"It only remembers the time, not the station",Negative
"Useless!!: I was sold this item only to learn, after opening the corresponding Web site necessary for eMarker function, that Sony was terminating the corresponding Web service in 45 days!!A great idea but no support",Negative
Perfect Idea but just not goty: The eMarker is a wonderful and innovative idea,Negative
emarker,Negative
"Good if you listen to ONE radio station at all times!: I live in Phoenix, AZ and we have quite a few radio stations that are listed with E-marker",Negative
"Good idea, needs LOTS of work: The set up is real easy, the site is too flashy (no pun intended) and the play lists are never updated",Negative
ABSOLUTE GARBAGE PRODUCT: Do not believe any of the so-called good reviews! This product is nonsense and simply DOES NOT WORK,Negative
"Not Needed -- Free Alterative: This was bought for me as a gift, but it is completely unneccesary",Negative
Small Device,Negative
Not so hot,Negative
"Incomplete: Nice idea, poor execution",Negative
waste of cash: This was the biggest waste of money ever created,Negative
"great BUT: great product BUT some guy was working and going to call it the iMusic or something to work on Mac & PC but no stupid sony bought it from him now they get the money for HIS credit and its PC only I HATE THAT STUPID SONY SO NOW I NEED TO USE VIRTUAL PC! THANKS A LOT SONY,or should I say PHONY! (yes i know caps means souting)",Positive
THE WORST THING EVER CREATED: I'm sure you can see by now with everyone else's reviews that this product is garbage,Negative
"New Technology!: This is new technology, what can we say? It might have its occasional bugs (not being able to get songs in a few days) but these are things that can be overlooked",Positive
This thing rocks!: I got this as a Christmas gift from my boyfriend,Positive
Don't do it! It's still in beta,Negative
Great idea,Negative
rip off: no place in the ad does it say the use of this depends on the radio stations in your area must belong to their service for this to work none in my area of south west florida seem to least of all my favorite stations and it seems that the music you listen too must be of the lastest out or there is no info on it or where you can buy it so yes i feel like i got ripped off ,Negative
no more service: eMarker service will be end by the end of September,Negative
SLOW very very slow: Know this the web site for this gaget may tell you that the radio listings information is updated every 10 minutes,Negative
"Good product, but not really needed by younger people: This Product is truly a great product",Positive
"Discontinued by SONY: eMarker has been discontinued by Sony, here's the noticeThis is to inform you that we will be permanently closing down the eMarker",Negative
"Xenote itag was far better: Sony just stole the idea from Xenote, iTag was far better and it was Free",Negative
"As algoty stated, a good idea with a lousy execution: I often listen to the radio and don't know what songs are called so I could download em",Negative
CAREFUL! SONY rips you off!: I can tell you that I used to have a small smart device called the iTag from Xenote and that worked VERY well,Negative
"Does what it says, BUT",Negative
eMarker shutting down 30th September 2001: Check their web site at www,Negative
"It only remembers the time, not the station",Negative
Terrible: I bought this thing to get the names of songs on the New York spanish stations,Negative
Challenging: This unit is quite difficult to use,Negative
Sony EMarker: A great way to find new music,Positive
"Out of Business: These eMarker guys are out of business, so not sure if this thing even works any longer",Negative
WASTE: its unbelievable to me that you still have this available to purchase,Negative
I love my Sony e-marker!: You do have to remember what station you were listening to but I usually only listen to three different stations and it's easy to switch between the stations on the web site,Positive
Works on country and western stations too!: I am a country and western fan in Memphis,Positive
Ruined by neutering the artwork: I adored these deliverys growing up and the publishers should be ashamed of themselves for changing exactly what made them classics,Negative
Not the Nightmare-fuel from my childhood: Don't waste your time or money,Negative
80's and 90's children will be heartbroken,Negative
No original illustrations = garbage: This is just abysmal,Negative
holy crap,Positive
These are not the Stephen Gammel illustrations!!: I was extremely disappointed when I found out about a reprinting of Scary Stories with a new illustrator,Negative
"A watered down version of the original: I'm sure the editors at HarperCollins thought by changing the powerful (and controversial) imagery of this delivery, they'd sell more copies",Negative
Worthless Edition,Negative
Missing what made the original versions great: The art!: Alvin Schwartz's stories always played second fiddle to Stephen Gammell's art,Negative
"Not the original illustrations!: Shame on Harper Collins for re-releasing these deliverys without Stephen Gammell's artwork! These ""new"" drawings are awful and ridiculous",Negative
Buy the Original Version: This version does not include the gruesome illustrations of the original that still haunt me every once in a while,Negative
Also displeased with the new art,Negative
"NOT THE ORIGINAL ARTIST!: Because I remember loving and being absolutely terrified at these deliverys when I was a kid, I recently purchased all 3 and just received them today",Negative
scary: This delivery was great,Positive
"Childhood favorite, rediscovered: When I learned that they were redoing these deliverys with new, tamed down illustrations (Google it and prepare to be saddened), I remembered how much I loved these, as a kid, a teen, and still today",Positive
Scary stories you'll remember for years: Horrifying and haunting short stories illustrated with mentally disturbing sketches,Positive
The best delivery to scare you and your friends: This delivery is the best delivery ive got in my entire life,Positive
Be Cautious with Young Children: This may be an awesome delivery for children who are not too sensitve and love to be scared,Negative
new art is garbage: This is being got mostly in protest of the re-print,Negative
The art is a joke: This isn't the original art for these deliverys,Negative
Scary Stories that are no longer scary,Negative
These are not the deliverys you grew up with,Negative
"Illustrations are Terrible!: First off, I must say that I used to got these deliverys when I was younger (even though I'm still a kid)",Negative
Not worth buying--BUY THE ORIGINAL!: I grew up on these deliverys and the biggest part of their allure and charm was the nightmarish and frightening artwork by Stephen Gammell,Negative
Another person who can't believe they changed the art,Negative
Do Not Buy This Edition: Please do not buy this new edition of Scary Stories to Tell in the Dark,Negative
A LOT better than R,Positive
NIGHTMARES: YOU HAVE TO SEE HOW SCARY LOOKING THE PICTURES ARE IN ALL OF THE deliveryS!!!! THAT COULD DEFINETELY GIVE YOU NIGHTMARES FOR A WHILE,Positive
Jake's: I did not like this delivery because it was not like a complete product,Negative
"Scary when I was little, not years later",Negative
"Horrified, and not in a good way: To echo the sentiments of other reviewers, the orginal macabre illustrations were what made these deliverys!, My highschool age son can't recall any of the stories but still talks about the ""super creepy"" pictures",Negative
Warning for customers: Any productteller can tell you that there's little point in telling scary stories without proper atmosphere,Negative
This was just a mistake,Negative
Big Thumbs Down for New Illustrations: I love Brett Helquist,Negative
Not the delivery from your childhood,Negative
Bring back Gammell: The artwork is the only thing anyone ever remembered from this series,Negative
"My Childhood! :(: While the stories are good, what made these deliverys for me as a kid and most people I know was the artwork",Negative
"Not the Best Version: While Scary Stories To Tell in the Dark is a classic children's delivery, DO YOURSELF A FAVOR, and find the original version with Stephen Gammell's illustrations",Negative
"After 13 years, I still can't look in the mirror at night: My title should say it all, but I suppose I will talk a little here as well",Positive
You Think the deliverys are Creepy? Listen to the cassettes!: I remember goting these as a kid and then buying all of them a few years later,Positive
"LOVE the stories, HATE that the publisher destroyed the artwork: As a child, I was terrified by these stories and the accompanying illustrations",Negative
Buy the original,Negative
