,Review,Sentiment,liked
2404,Lame: This delivery [stinks],Negative,0
2405,"Believe it or not, it's scary either way",Positive,1
2406,"Interesting, but got the fine print",Negative,0
2407,"POOR QUALITY INCORRECT: the item that is stated does not look like the stock graphics , the picture that is show is not what the item looks like ",Negative,0
2408,"Great for the price!: We love the flatware, due to the design",Positive,1
2409,"cheap: This flatware set is very pretty, but made very cheap",Negative,0
2410,Awesome,Positive,1
2411,"Why Can't I Rate at Zero Stars ?: Come On, People !!!! I checked this out because Amazon emailed me saying it was top rated",Negative,0
2412,Sound Catchy but mix with Terrorists: I have to agree some songs sound very catchy,Negative,0
2413,surprised: she's sri lankan but it's like she's trying to be west indian or something,Negative,0
2414,OK: You can tell the difference between this and the next,Negative,0
2415,"A Question: Can someone please tell me how she managed to be signed by A!!!!record label, let alone one capable of putting her music (if that's what you call it) into the airwaves as much as it is",Negative,0
2416,Terrible,Negative,0
2417,Stop while you're ahead!: Save your money or purchase a hammer when you buy this cd because all you'll want to do is hit yourself in the head for buying it in the first place,Negative,0
2418,ZZZZZZZZZZ,Negative,0
2419,"If this doesn't get you dancing, you have no pulse!: The single, ""Galang"" explodes like computerized firebombs! All quaking synths and bells and whistles and a beat that would get the dead to dance",Positive,1
2420,She's A Paradigm in the Making,Positive,1
2421,"Gets old fast: The first time through I really enjoyed the quick quirky beats, and the skits were sorta interesting as well",Negative,0
2422,"Get your heart beating: Mmmmmm hmmmmmm, wickedly wild",Positive,1
2423,"brilliant raggamuffin: I don't care about all the hype, I dig this record a lot",Positive,1
2424,Captivated by Arular: My 10 year old daughter and my 61 year old butt can't get enough of Arular,Positive,1
2425,"Too good for Sepos: This album is innovative and fun, blending various styles to create one slick and catchy sound",Positive,1
2426,It'll get in your head ,Positive,1
2427,blows you up before you go,Positive,1
2428,bloody awful: sounds like a third world elementary school class on a field trip to a crack fdelivary many,Negative,0
2429,"MIA: Hip Hop's Nice, Nice Fighter: She's ""got the beats to make ya burn"" - This is the future of Hip Hop",Positive,1
2430,"rhythmic, textured, danceable electronic music: i love this music, but i can see how some people wouldn't",Positive,1
2431,"this girl can spit!: i first heard the track bingo on the radio not long ago, and that has now opened a whole can of worms for me",Positive,1
2432,M,Positive,1
2433,"Milli Vanilli redux: With the exception of lip-synching, this is an exact replay of Milli Vanilli",Negative,0
2434,M,Negative,0
2435,"Anyone notice terrorist references?: This is good music, but I really have a problem with some of the lyrics",Negative,0
2436,M,Negative,0
2437,Save your money,Negative,0
2438,terrible,Negative,0
2439,no: just no,Negative,0
2440,WTF????????: This album is able to be previewed in full on NME,Negative,0
2441,If you like dancehall ,Positive,1
2442,M,Positive,1
2443,Dishes chip VERY easily: I bought 10 place settings of these dishes because I like the style,Negative,0
2444,Nice but shows scratches,Negative,0
2445,"How to beat the gray marks: I like the simple design of Noritake Colorwave dishes, but was unhappy with gray marks from metal tableware",Positive,1
2446,"Noritake Colorwave 16 piece place setting: I ordered a 16 piece place setting , service for 4 but only recieved a 4 piece place setting, service for 1",Negative,0
2447,"Excellent Everyday China: I bought my Colorwave Graphite dishes at Macy's, not Amazon",Positive,1
2448,"Great product sorriest printing and binding Ive ever witnessed: The product , of course , is fabulous but this is the worst binding I have ever seen in 30+ years of goting paperbacks",Negative,0
2449,All Barsoom deliverys are great!: I first got the Martian Chronicles as a teenager,Positive,1
2450,"Brilliant, Lagwagon's most ""complex"" album: The CD will not grab you at first, its not as catchy as Lagwagon's previous releases, but with a few listens it makes the argument for greatest Lag album ever",Positive,1
2451,very good: This is a great cd,Positive,1
2452,"Bernie sings too !: Be sure, this is a nice CD from long years ago",Positive,1
2453,Who said Bernie cant sing?: This is Bernie Taupin's second solo album and it is excellent,Positive,1
2454,Maximum Minimalist Soundscapes Unfold: If you like Math Rock/Instrumental Indie Rock i,Positive,1
2455,In depth study: This delivery is not all that hard to understand,Positive,1
2456,"A Good Album: I have been a fan of Nightwish ever since I was first introduced to the amazing world of gothic rock/operatic rock music through Evanescence (if you like this band, then you may like this band)",Positive,1
2457,2/5: This album is 2 stars because some of the songs are listenable,Negative,0
2458,"Cheese enthroned: This is like a new genre of music - cheese metal, it sucks so bad that you don't even get angry with it, rather you feel sorry for the poor people in this god-awful band, and all the people who were misled into buying this or any other nightwish cd",Negative,0
2459,FORMULATIC AND HEARTLESS: THis band from Scandinavia reminds me of Stratovarius,Negative,0
2460,"overated?!: I dont know how you can say this cd is overated, it is underated if anything",Positive,1
2461,"A MUST HAVE: When I purchased this cd I had algoty listened to some songs on it and I liked them very much, so I bought the cd thinking that those were going to be the only ones on the cd that were good BUT when I bought the cd I could not belive how good each and every song was on the cd",Positive,1
2462,Great: Insert the CD and listen to the first track,Positive,1
2463,"It all sounds the same, but",Positive,1
2464,"Great: Wishmaster is a fantastic album, that should grace everyone's music collection",Positive,1
2465,"Spine Chilling, Awesome, and Grand!: I can not say enough about Nightwish, masterpeice in all meanings of the word",Positive,1
2466,finlands power: one of finlands best kept secrets,Positive,1
2467,"Very good, stunning !: The great differential in this metal band from Finland is the presence of a female singer",Positive,1
2468,L T: Very disappointed with this one ,Negative,0
2469,"interesting, but",Negative,0
2470,Wishmaster: I play this cd over and over again,Positive,1
2471,"Nightwish is unique and rocks for eva: Moi to you all,Nightwish est vraiment le plus cool des bands",Positive,1
2472,"Nanci Griffiths ""Other Voices Other Rooms "" A great Video: I bought the album as soon as it was released in New Zealand after seeing Nanci on the Bob Dylan anniversary concert video singing ""Spanish Boots of Spanish Leather""",Positive,1
2473,Please Release on DVD: This was a wonderful concert celebrating a landmark album from Nanci Griffith,Positive,1
2474,Welch Allyn thermometer: My health condition requires frequent monitoring of my temperature,Positive,1
2475,Simple to use: I got one of these for our office,Positive,1
2476,Peace of Mind: I love having this thermometer,Positive,1
2477,"Just like the hospital and doc's clinic: I bought 3 other types of thermometers -temporal scan, auxuliary thermometer (but), oral thermometer, but was getting tired of guessing her temperature",Positive,1
2478,Awful,Negative,0
2479,Broke in less then a month: I bought this tent on 6/6/2005 for my 10 month old boy and used it once at the pool the rest of the time it sat in my dining room,Negative,0
2480,rocket science: I cannot wait to return this item to Babies R Us,Negative,0
2481,Not worth the money: I would not recommend this product,Negative,0
2482,BORING,Negative,0
2483,A Great Documentary: this documentary tells you the relationship of Lewis Carroll and Alice Liddle,Positive,1
2484,"This may be a shortened version of ""Howlin' Wolf Live Gold"": This CD looks to be a 9 track version of the Howlin' Wolf Live Gold CD (Fine Tune 2212-2) which has 14 tracks and appears to be available through Amazon Marketplace (the first nine tracks are in identical order on both CD's)",Negative,0
2485,"Such Great Music!: It took me forever to finally get this gem, but it was so worth the wait",Positive,1
2486,"Great listening and worth every penny: John Townsend is the man with the voice, and it might be one of the finest vocal performances ever",Positive,1
2487,When Will Another CD Be Released?: When you think of all the material that has been released out on CD,Positive,1
2488,A Winner!: One of my all-time favorites in a listening hiproduct that ranges from the Beatles and Motown in the 60's to the present,Positive,1
2489,Chris LaMach: Chris LaMach,Positive,1
2490,"good stuff: although there is actually only one hit on this CD, if youre from this time the memories are worth it all",Positive,1
2491,A Classic,Positive,1
2492,NOT a review of the music -- just Amazon: iTunes has this exact album available for download on mp3 -- which means you don't have to wait for a CD and you can purchase individual selections,Negative,0
2493,"a good delivery: This technology module contains a brief introductory description to the exchanger type above, followed by information on construction, construction materials, operating limitsand principal applications",Positive,1
2494,"Excellent Introduction: This, along withThe Witches' Goddess: The Feminine Principle of Divinity, provides and excellent introduction to Wiccan concepts of divinity",Positive,1
2495,overall a good delivery,Positive,1
2496,"I love it: I just love PUR, they have great songs",Positive,1
2497,"Seiltanzertraum: If you have lived in Germany, you would have heard about PUR",Positive,1
2498,Not so hidden fantasies explored and discovered ,Positive,1
2499,"Where was the editor?: Technically this was an exercise in tautology, and albeit the  Company admits that they are events not presented chronologically/linerally, the whole thing came off as a repetitive scrapdelivery of free associative ramblings",Negative,0
2500,"Like a train wreck, you want to look away, but you can't",Negative,0
2501,THE HARMONIOUS HOLLIES: This self-titled effort from the British band offers their masterful harmonies on an eleven track album,Positive,1
2502,"Listen to it more than once: I didn't think much of this album when I first got it and listened to it, but after a couple of listens, I really liked it",Positive,1
2503,"Pop power from 1974: Amazon's review is wrong; this 1974 LP often gets confused with their 1965 LP, mainly because they are both simply titled ""Hollies""",Positive,1
2504,"Beware of packaging: Sorry I know this is supposed to be a review of the item, but I want my complaint heard by anyone that might buy it",Negative,0
2505,Unlike the First: Celtic music has always been one of my favorite genres of music,Positive,1
2506,Purple and Gold: I love this album,Positive,1
2507,"Ha Ha Ha: Why is she not famous? I agree with the other smart reviewer, because she STINKS! Wow does she stink! I had no choice but to throw her CD in the trash",Negative,0
2508,Essential Step in PE Preparation: This sample test provides the look and feel of the actual PE exam,Positive,1
2509,Outdated - Does not match new test specificiations (April 2011): Please note that the format of the Chemical PE exam will change somewhat starting in April 2011,Positive,1
2510,Works like a charm: I bought a pair of these to replace similar hoses in my 5'er,Positive,1
2511,"I couldn't get into it: I just coulAfter getting more than 50% through the delivery, I had to stop ",Negative,0
2512,Not complimentary,Negative,0
2513,"Beautiful, Poetic, Distinctive Writing: I loved this delivery",Positive,1
2514,"The autobiography of ""EVERY"" Caribbean mother",Positive,1
2515,Not my kind of got: I found the delivery to be uneasy goting,Negative,0
2516,"Disappointing: I had hoped to got a colorful product about life in the Caribbean, and was not expecting the product to be happy and uplifting",Negative,0
2517,"A fast, but mostly unpleasant got: This is the product of an unhappy woman who refuses to see or seek out any joy in her life",Negative,0
2518,"Puzzling: After all the hype, and comparison to Camus' ""The Stranger"", I suppose my expectations were high for this delivery",Negative,0
2519,The autobiography of my mother: Did not really get lost in there delivery,Negative,0
2520,The autobiography of my mother: It's not a delivery I'll ever got again,Negative,0
2521,repetitive: This delivery has flowery language and the product line seems to have potential but the delivery never goes any where,Negative,0
2522,"Incredible: This is my favorite of Jamaica Kincaid's, which of course is saying a lot",Positive,1
2523,Too much self absorption: The  Company's intense focus on the main character's inner thoughts and feelings limits the goter's scope and prevents a broad view of the social environment of the delivery's setting,Negative,0
2524,a must got: this delivery takes you on a journey for knowledge and understanding,Positive,1
2525,Pseudo-nihilistic garbage,Negative,0
2526,Do I have to give it a star?: Even that single star is more than this delivery is worth,Negative,0
2527,"Sharks Walnut picture frame with emblem: I ordered this item for a Xmas gift, however when we put the picture in with the matting it did not fit, the frame and glass were crooked so picture did not fit",Negative,0
2528,Don't buy this delivery: Jean Giorno assigned rights to this product to the public domain,Negative,0
2529,Poly tape: Does a great job highly visible,Positive,1
2530,"disappointing, confusing, not an good intro to snmp: This was not a good first delivery to learn SNMP, the basic definitions are poor, leading to confusion",Negative,0
2531,This is a fuzzy description of SNMP: I got first edition of this delivery when it came,Negative,0
2532,goting an RFC is more fun and more informative too!: The editor and publisher of this delivery should be ashamed,Negative,0
2533,"Not just disappointed, angered",Negative,0
2534,Horrible for beginners; no comment as a reference: I am a developer with 8 years experience but novice to Network programming,Negative,0
2535,Disappointing that Amazon's Price is 15,Negative,0
2536,The finale of the Icerigger series,Positive,1
2537,St,Positive,1
2538,Totally Cool blend of Rap vocal and funky jazz instrumental: A new wave,Positive,1
2539,"solid value: I might not want to nap on it myself, but my 2 year old loves it",Positive,1
2540,"poetic but excessive: I have not got any of Charlie Smith's other work, so I can't compare this to previous efforts",Negative,0
2541,"Wonderful app: I love goting Essence magazine, I am happy I can now got it on my kindle fire",Positive,1
2542,Very good: This is the only magazine I got regularly in college (25 years ago) that I still got now,Positive,1
2543,Wolf in Sheep's Clothing!!!!!: I'm thinking of cancelling my subscription,Negative,0
2544,"Essence: I love the magazine, but I would love to receive it before I see it on the news stands or at least the same day",Positive,1
2545,WHERE IS THE MAGAZINE????????????????: I orderd this magazine in August,Negative,0
2546,where my copy: Cant rate something that I have yet to get a copy of,Negative,0
2547,"too many ads, not enough interesting material: i was hoping to gain some entertainment while goting things that will keep my interest but like most magazines, this was full of ads and the articles either seemed generic or just didnt keep my attention",Negative,0
2548,Could Easily break a tooth: So disappointed with this product,Negative,0
2549,Zero Resolution: I'm sure I am one of a select few that do not appreciate a product that develops great characters and great sub-plots and then ends abruptly,Negative,0
2550,"Simply the Best!: I have adored Dean Konntz since I was in High school, I remember goting Phantoms for the first time and not sleeping through a night for a week! He is simply the best  Company I've ever found, he grabs you in the first page and doesn't let go until he's done what he wants to",Positive,1
2551,like the critics say: RIVETING!: the delivery was great,Positive,1
2552,A Page-Turner Modern Day Frankenstein: Bought this delivery as someone loaned me the next two in the series,Positive,1
2553,Ok but nothing great: Its not a bad delivery but I expected more,Negative,0
2554,"Dean Koontz's Frankenstein: I imagine this is a very creative delivery got by Dean Koontz, and I loved his Odd deliverys",Negative,0
2555,Excellent as always: I've been a fan of Mr Koontz for a long time,Positive,1
2556,Give me an ending: A decent product that gets you to turn the pages,Negative,0
2557,Disappointing!: The repetition of information and slow pace gave this delivery the feel of elementary school goting material,Negative,0
2558,It's Garbage,Negative,0
2559,Just God Awful: Koontz turns the Frankenstein mythos into a cop product,Negative,0
2560,Not Dean Koontz's best: This Frankenstein series started off with 3 1/2 stars and deteriorated downward with every new volume,Negative,0
2561,"This delivery is has inspired me: This delivery would probably have to be the best work of fiction I have ever got, and I have got a lot of fiction",Positive,1
2562,Stunning Craftmanhip: Frankenstein: The Prodigal Son is one of Dean Koontz's best novels,Positive,1
2563,"Koontz nailed it!: I'd only got the first three Odd Thomas deliverys of Koontz's, but thought I'd try Frankenstein, because the review on Amazon said it was not a rehash of the old tale",Positive,1
2564,D Koontzs deliverys: Was looking for the Frankenstein series,Positive,1
2565,Frankenstein Prodigal Son: I am a big fan of Dean Koontz but not this delivery,Negative,0
2566,"Reviews, not plot summaries: This forum is for your opinion of the delivery, not for each of you to explain the plot over and over again",Positive,1
2567,Don't bother: Definition of a bad delivery: a delivery that doesn't make you want to get to the next chapter,Negative,0
2568,A good product but not great: I love Dean Koontz,Negative,0
2569,A Frankenstein for our Generation: This is my first Dean Koontz novel and it will surely not be my last,Positive,1
2570,Gripping: I haven't been this taken with a delivery since the Harry Potter series,Positive,1
2571,I finished delivery one of Koontz`s Frankenstein,Positive,1
2572,Neat package but very grainy indoor quality: Things I like,Negative,0
2573,Horrible motor noise: Unfortunately I had a very bad consumer experience buying this camera,Negative,0
2574,"always ""remove the tape"" message: I bought this model 18 months ago",Negative,0
2575,Awful Company,Negative,0
2576,"Zr40 Cannon: The camcorder was little dirty, and had a missing lens cover",Negative,0
2577,"Worst Product I have Owned: As many others have reported, this Zr40 began eating tapes with only a few hours of use on it",Negative,0
2578,"Eats tapes: After about a year of use, ZR 40 started eating tapes",Negative,0
2579,Sent mine back the next day: I just received my ZR 40 and really liked its size and low weight,Negative,0
2580,"Worked Great - eats tapes after some use: Like many who have found this camcorder, I liked the canon name and bought based on Canon and value",Negative,0
2581,Not as pictured: The lights that I received are absolutely not as pictured,Negative,0
2582,"Great Music, and A Lot of It, At A Great Price: This disc contains Ornette Coleman's pioneering 37-minute 'Free Jazz' PLUS 40 minutes of shorter pieces recorded in the same year",Positive,1
2583,"This delivery revolutionized the way I look at myself: I finally understand why I've always felt different and like an outcast and I've learned to accept the things about me that are ""different",Positive,1
2584,Anesthesia for the gifted: I checked this delivery out of the public library in hopes of gaining some insight into the many kinds of difficulties an adult faces upon learning of his/her giftedness,Negative,0
2585,Mediocre: This is a mediocre delivery at best,Negative,0
2586,"I was promised new!!: well, they promised me ""NEW"" but this delivery is far from being new",Negative,0
2587,"Good Product: Works great, looks more classy than the plain white ones for curtain hanging and it's strong enough to hold curtains",Positive,1
2588,Absolute Garbage: There are plenty of tension rods out there,Negative,0
2589,"Not exceptional: As other reviewers have stated, these curtain rods will not sustain much weight at all",Negative,0
2590,shipped wrong color: I ordered three rods (all black) of various sizes and received free shipping,Negative,0
2591,"Dainty: This item is very beautiful and dainty, but a lot smaller than I thought",Positive,1
2592,beautiful: I love this pendant,Positive,1
2593,Love it!: I am very happy with the weight and quality of this product,Positive,1
2594,"good delivery for little ones: We loved this delivery! Anything that confirms what we are trying to teach is always great to find! This delivery teaches about gaurding your heart in a funny and cute way, but it shows the reality of what happens when we give in to temptation and watch things that we shouldn't! This delivery is GREAT!",Positive,1
2595,Recommend for young musicians: This is a great delivery for young musicians for inspiration,Positive,1
2596,Not for me,Negative,0
2597,"good fantasy romance: This delivery, though not ""great literature"", is a fun got, with plenty of romance and suspense",Positive,1
2598,Long and involved: Had a hard time following the product,Negative,0
2599,a great cooooooooooooool album,Positive,1
2600,Two thumbs down- I've never been more disapppointed: I've never been so disappointed with a CD!! If there were 3 songs on the CD that I liked it was a lot,Negative,0
2601,The music is old and tired at this point,Negative,0
2602,It isn't a toy,Negative,0
2603,beautiful!: Ai Yazawa does it again,Positive,1
2604,"Just Unnecessary: As any fan of Nirvana is well aware, Kurt Cobain had a fear that was close to outright paranoia about Nirvana's music being milked and exploited to make a buck",Negative,0
2605,Buy the box set instead of this!: All it is the summary of the boxset i guess for the budget nirvana fan? the reason i am giving it 2 stars all it had to offer was a track not included in the box set which is the come as you are demo,Negative,0
2606,Poor value for money: I agree with most people that this is an un-necessary release,Negative,0
2607,Best of what box?: There is no excuse for the CD to be made,Negative,0
2608,Smells like dollar signs,Negative,0
2609,"A dgotful waste of cash: If this is the ""best of the box"" then thank God I didn't buy the box",Negative,0
2610,"Nirvana Sliver Best Of The Box: As a long time Kurt Cobain fan ,Kurt was the reason I learned guitar years ago ,I was always a singer and songwriter since I was young but when Nirvana came out in 1991 I learned guitar as well cause the man inspired me too not just sing but write my own riffs",Negative,0
2611,"Horrible CD: I bought this CD thinking it was a ""Best Of"" or ""greatest Hits"" type thing",Negative,0
2612,"Why keep on going with this crap?: It is more of the same, it is more of the one of the worst band that existed",Negative,0
2613,"Nirvana is awesome; but home demos of great songs played with terrible quality and instruments isn't: Although it does not mention it that the songs on the CD are demos in track listing, almost single song on this CD is cheap home made demos with terrible sound quality, with the exception of a few acoustic and live performances",Negative,0
2614,Awful: Wish I had got the reviews first,Negative,0
2615,"Milk It: Some Of The Box: Four stars for the music, minus 2 stars for the concept",Negative,0
2616,Low Quality POS: I would have given it zero stars if possible,Negative,0
2617,"Completely Useless: I don't quite understand why Courtney is allowed to put these things out, and even more surprised that the other members agreed to it (since they have to)",Negative,0
2618,"Horrible Quality: Even though the song list looks impressive, don't waste your money on this one",Negative,0
2619,This doesnt deserve one star: What is happening here,Negative,0
2620,I made better recordings in my garage: I was expecting a lot more when I bought this CD,Negative,0
2621,"who are you?: This CD is great for some people, but I think a lot of other people are buying it who maybe shouldn't",Positive,1
2622,"Totally F***ing Pointless!!!: F*** You, Geffen, F*** You Courtney Love!!!! Dave Grohl why didn't you STOP THEM, YOU WERE MY HERO",Negative,0
2623,"Uhh yea right: I downloaded it for free courtny, then i kept the new songs then deleted the rest",Negative,0
2624,Good job Courtney,Negative,0
2625,Tasteless Trash: If I could give this half of a star I would,Negative,0
2626,"Listen to the samples before you buy: Okay, I made a HUGE mistake",Negative,0
2627,"Unnessecary Garbage: Recently, Nirvana released the amazing ""With The Lights Out"" box set",Negative,0
2628,Very Low Quality Recordings: Nirvana should be ashamed of having this released,Negative,0
2629,2pac of rock is back!: I own the boxset of Nirvana and its good,Negative,0
2630,"HORRIBLE: ok--first of all, saying that this CD is the ""best"" of anything is completely wrong, and don't give me that Bullsh*t about ""you try to write something"" thats not the issue",Negative,0
2631,"Screw you Doug the ""guitar player"": Bloody hell man, are damn stupid, Nirvana were an amazing band",Positive,1
2632,"$ Scam: The songs on Sliver are easily some of the best of the box but the completely ignored some of the best, also",Negative,0
2633,Don't Buy: This is the worst recording of Nirvana I have ever heard! The entire thing sounds horrible,Negative,0
2634,Thought I was missing more than this,Negative,0
2635,"Very easy to solve!: This puzzle is very easy to solve, I would not recommend it for anyone",Negative,0
2636,Great gift to pass on!: Gave this to a friend in October,Positive,1
2637,Synopsis: Dr,Positive,1
2638,Really bad,Negative,0
2639,"Stupid: I must admit, it was terrible",Negative,0
2640,"Stinks like stale cabbage!: This Product is bad, Bad, BAD! Makes Rudy Ray Moore look like Fellini!Essentially, this is the crude ""product"" of a college football player who goes down to Daytona with his friends for Black Spring break and hopes to sing with the pros",Negative,0
2641,Palabras de aliento para tu caminar con Dios: Una vez mas Charles Swindoll llega al corazón del cristiano como tu y como yo,Positive,1
2642,great delivery - both down to earth and inspiring: Good for beginners or for those algoty on a spiritual path - as always another perspective gives you insights in areas you may have thought you had it all sussed or confirms something you had not quite got your head around yet,Positive,1
2643,"Boot Camp to Spiritual Fitness: This delivery is definitely an ""In Your Face"" program",Positive,1
2644,"Spiritual Fitness: Loved this delivery; I have got it, taught 2 classes from it and it has transformed my life and the lives of my students",Positive,1
2645,Awesome guide for the experienced mountaineer: This delivery outlines hundreds of different routes up all of the Wind's well-known peaks (as well as several not-so-well-know ones),Positive,1
2646,Too broad and too liitle info: Not knowing Wind River the guide really did very little to help plan a trip excpet for forming a general idea of where to go and what to see and climb,Negative,0
2647,E,Negative,0
2648,Long but interesting: I got interested in goting this delivery after viewing the Masterpiece Theater showing of the Forsyte Saga,Positive,1
2649,"good product, overdetailed writing: Having first viewed the TV version of this product, I find that the got version tends to be overlong and overdetailed",Negative,0
2650,The Best delivery I have got in years: I was bored one night and picked up this delivery that had been on the shelf for probably 20 years,Positive,1
2651,Rancid Crank Out Another Classic,Positive,1
2652,Marginal: This collection of sentences and catch phrases is VERY weak on technical details and VERY heavy on the diatribe,Negative,0
2653,hard topic but well worth the knowledge: Ms Too has tackled a subject that is immensely difficult to learn,Positive,1
2654,How Annoying! Total waste of money: I bought this delivery planning on checking the Feng Shui for my house for the year 2002 and find out after goting several chapters that Lillian Too assumes your house was built since 1984 or has had major renovation during this period,Negative,0
2655,A great collection of songs on this karaoke disc: 1,Positive,1
2656,"IT IS DESEPTIVE ,: IT IS NOT WHAT I THOUGHT IT WASIT DOSE FIT THE CAMRA BUT I THOUGHT THAT IT HAD A USB END ALSO , SO THAT I COULD HOOK TO MY COMPUTER",Negative,0
2657,Cable is a cable is a cable: Buying a Sony cable wasn't worth it,Negative,0
2658,Not HAPPY: I purchased this for my sony camcorder,Negative,0
2659,Sony I,Negative,0
2660,"Great for video transfer!: Atlast I can transfer my videos from my HC32 Sony camcorder to my laptop! Works with Toshiba & Dell laptops, not sure about others",Positive,1
2661,"Works great with my Sony DCR-TRV103 video camera to Sony VaioPC: works great! so easy to use with ""click to DVD"" software that came on my Sony Vaio PC",Positive,1
2662,Has to be one of the best deliverys on salvation ever got!!!: Dr,Positive,1
2663,"Blows Toxic Avenger I away: For those of you who liked TA 1, you've got to get this one",Positive,1
2664,Products I Own U Should 2!!!!!!!!!!!: Toxie at his best this is one of the greastest TROMA Products ever made I would gladly pay 30 dollars for a Product this good also get the Tox Box***** and the Toxic Crusaders***** It's the cartoon show from when I was kid It's FRESH as HELL,Positive,1
2665,Brilliant: TOXIC AVENGER 4 IS AN AMAZING Product,Positive,1
2666,A NEW ASSKICKING Product MADE BY LLOYD: this Product whas relly great,Positive,1
2667,"good lord - i cant see how it gets any better than this!: its entirely beyond me how with every film lloyd kaufmann directs, it outdoes the last",Positive,1
2668,"BEYOND OFFENSIVE!: If you love, care, like, or even have the smallest amount of respect for yourself or another person don't expose them to this garbage! I did not expect a Product with taste, and I enjoy B-Products, tacky gross outs, and off color humor",Negative,0
2669,"One of the lesser Louis L'Amour novels: I've got them all, many times over and am a big fan",Negative,0
2670,"California Hiproduct/Mystery All In One!: This one doesn't really fall into the Western category, but it's full of hammering action, informative local California hiproduct, and mystic goings-on",Positive,1
2671,Good choice for light duty homeowners: I bought this since the big MK I also use was too heavy and messy to take into condos,Positive,1
2672,"Poor support from Plasplugs: About four weeks ago, I purchased at a Home Depot in Florida the Plasplugs ""Master Tiler"", model number: DWW180US-BX",Negative,0
2673,Don't waste your time or money on this: First the good things,Negative,0
2674,Not very good: I cannot recommend this tool,Negative,0
2675,Spend your money elsewhere,Negative,0
2676,Plasplug is JUNK!!: By something else,Negative,0
2677,Not recommended: I have to agree with most of the reviews here,Negative,0
2678,"Very poor: This is a very good concept, but poorly executed",Negative,0
2679,Buy Something Else!: The first tile I cut,Negative,0
2680,PlasPlug Master Tile Cutter: Bought at Home Depot for $199,Negative,0
2681,"spend the additional money and get an MK: My main complaint is the fence, getting both sides square to the blade and locked down will take you about five minute's and even then don't put to much pressure on the fence as it will ether bow or one side will move",Negative,0
2682,"Bad fence, Bad tilt: The rail keeps popping up, so the plastic endcaps are no longer flush with the table",Negative,0
2683,Made Me Feel Worse!: A friend suggested this herb to me to help with my awful PMS,Negative,0
2684,Not one change: I have been taking two capsules daily for two months and not felt or seen one difference in my health,Negative,0
2685,made my head spin: this made me really dizzy so I had to stop using it after only one use,Negative,0
2686,Didn't help: I found research that said this possibly may help get your cycles back and so after finishing the bottle the cycle never came,Negative,0
2687,"Vitex: This product was great , smells weird but it is a root",Positive,1
2688,It's Working,Positive,1
2689,"Caused tiredness and confusion: I noticed I was very tired and headachy after taking Vitex, but I got that is a common side effect and that it was temporary",Negative,0
2690,"Worked like a CHARM!: I do not write reviews typically but this product changed my life! My periods have always been irregular, however I still did not expect them to just stop when I was 25",Positive,1
2691,Excellent use of Humor to teach Finance: Robert Cooke use humor throughout the delivery to help nonfinancial manager understand financial reports,Positive,1
2692,zero stars - an absolute horror: This is the 2nd CD that I've purchased of rerecorded versions of Monty's 60s songs,Negative,0
2693,"Dissapointing: I purchased this product to help eliminate my mild acne, and used it in conjunction with MDSkincare's cleanser/toner, and tinted moisturizer",Negative,0
2694,"Fantastic: Love this product, makes my skin look and feel great! It's easy to use, no mess no fuss",Positive,1
2695,Best Product I have EVER purchased: It takes alot for me to feel the urge to write a review on anything,Positive,1
2696,"Totally trashed my skin!: I bought this at Ulta after doing some research regarding chemical peels helping acne, and one of the sales associates recommended this product",Negative,0
2697,Not for everyone's skin!: I bought this in hopes to reduce some small bumps on my cheeks and even out my skin tone,Negative,0
2698,Less one star due to price: I was surprised that after a few days use one really can tell a change in pore size without the harshness of an astringent,Positive,1
2699,A Facial in a Pad: There is enough product on the mini pads to go over your entire face and neck,Positive,1
2700,"Horrible product, wish I could give it negative stars",Negative,0
2701,SO Expensive BUT,Positive,1
2702,"Beautiful product!: I've reviewed a couple of other Waechtersbach items, and I'm quite happy with these as well! I have only two minor complaints",Positive,1
2703,"Memoir or Memory?: Although Derrida can be difficult to follow sometimes, this work is extremely intriguing and thought provoking",Positive,1
2704,Jiggy Fly,Positive,1
2705,Fascinating view into the past: This delivery is fascinating for anyone at all interested in New Zealand hiproduct or a general account of life in the past,Positive,1
2706,A very amusing look at the past: I was hoping for far more details about working and handling sheep in the ways the New Zealander's did in the past when I got this delivery,Positive,1
2707,Didn't like,Negative,0
2708,"Two Divas,that should shut up!: Here are two songbirds who are trying to be the best singers of all time",Negative,0
2709,Product Version is Much better!: The Product version of this song is much better,Negative,0
2710,THE SONG IS SOULFUL: U ARE ONE OF THE BEST SINGERS AND IN THIS SONG THE TWO OF U SOUND ABSOLUTELY BRILLIANT,Positive,1
2711,"Wuzzup, Mariah!?! I'm Kaligirl from Seoul!: ""When You Believe"" is an awesome song",Positive,1
2712,"New Age?: The song is sung beautifully, but is it promoting New Age? Should we believe in ourselves or in God? I think the focus should be more on believing in God and not just in ourselves",Negative,0
2713,"When you believe: This song, sung by Whitney Houston and Mariah Carey is GREAT! Sometimes, it leaves tears in my eyes",Positive,1
2714,"I really like this music because of the words and the product: The singers are very good, both of them has a very nice voice and they are talented singer",Positive,1
2715,Informative: got it all of it,Positive,1
2716,"Honest old fashioned opinion: I have not placed eyes on the original, but it seems all pictures are correctly placed",Positive,1
2717,"Beginner woodsman manual: This is basically a beginners guide to traveling, camping, and surviving in the woods",Positive,1
